,gamename,avg,publisher,developer,tag_common,multi,genre_common,plat_count
834,0,108.04642857142859,1,2,20,1,2,3
835,0,70.34142857142857,10,9,20,0,3,4
837,3,28.4383908045977,2,4,20,0,1,10
839,0,3460.2402439024404,2,1,20,0,4,1
840,1,389.7134693877551,72,8,14,0,2,5
841,0,603.040652173913,1,1,20,0,3,3
842,1,1944.169111111111,17,1,19,0,3,4
843,2,3004.7527272727275,13,3,20,0,3,4
845,1,140.5288405797101,1,1,20,0,5,4
846,1,262.38964912280693,1,1,20,1,1,4
847,1,69.76519230769227,4,2,20,0,2,1
849,0,8.997076923076923,2,3,20,0,3,6
851,0,55.532321428571414,100,6,20,0,4,5
853,1,64.38040404040406,116,8,20,0,2,3
855,2,3411.540384615385,12,129,1,0,1,3
856,2,1174.43,12,129,1,0,1,3
857,2,278.5336046511629,12,129,1,0,1,3
858,2,271.4271153846153,12,129,1,0,1,3
859,2,537.4060416666666,12,129,1,0,1,3
865,0,68.18702127659576,5,7,20,0,3,5
866,1,883.813275862069,9,9,20,0,4,1
867,0,9775.305689655172,1,2,20,0,3,3
868,1,7442.8533333333335,1,1,20,0,3,1
869,3,536.5107407407406,42,1,20,0,2,1
870,5,2092.6081967213113,29,1,19,0,1,4
871,0,104.78461538461536,90,13,20,0,1,2
874,1,427.50431818181823,10,3,20,0,3,7
875,2,7848.438695652175,7,3,20,0,3,4
876,1,235.23954545454546,3,13,20,0,1,2
877,1,44.7670512820513,37,1,20,0,5,6
878,0,3460.5628749999996,3,5,20,0,6,3
879,1,20.26168674698795,1,2,20,0,3,3
880,2,34286.6172463768,19,20,20,1,4,6
881,5,819.5157303370786,294,200,9,0,2,2
882,2,342.95322580645166,3,3,20,0,4,6
885,2,2849.5842424242414,1,1,20,0,8,1
886,0,32969.03689655172,4,5,20,1,5,4
887,1,142.96474358974356,3,7,19,0,1,2
889,2,246.72490384615392,8,19,20,0,2,1
890,1,133.83298076923074,9,19,20,0,2,1
891,2,200.25134615384607,8,19,20,0,2,1
892,1,2699.0002564102565,1,1,20,0,5,1
893,0,2559.4767441860463,100,2,20,0,5,1
894,0,9777.483030303028,13,4,20,0,2,5
896,0,108.22970149253732,6,6,20,0,3,5
905,0,97.16272727272728,23,18,20,0,1,4
906,0,167.17754098360652,3,5,20,0,2,7
909,3,179.655,90,25,20,0,1,4
910,3,1350.1189010989012,90,28,20,0,2,5
912,3,1316.4871153846154,90,25,20,0,1,4
913,2,312.05865671641794,25,27,20,0,3,1
914,1,16.835499999999996,25,27,20,0,1,3
915,1,208.8082758620689,3,4,20,0,3,7
916,1,171.27340425531915,21,16,20,0,3,5
919,2,48.362432432432435,1,1,20,1,6,3
920,1,1591.379838709677,2,1,20,0,5,1
921,0,166.16590000000005,44,2,20,0,3,5
923,3,376.1721359223301,18,20,20,0,5,1
924,1,81.78985294117649,1,1,20,0,5,1
925,2,7547.218333333333,1,2,20,0,2,3
926,0,4.652588235294117,2,2,18,0,2,3
927,2,46.633076923076935,100,18,20,0,2,2
930,4,305.30915254237294,74,6,20,0,2,5
932,3,220.60852459016397,100,12,20,0,2,3
934,0,228.3759375,269,11,20,0,4,5
935,2,179.77602564102563,269,11,20,0,4,4
937,1,1860.796333333333,2,2,20,1,7,3
939,1,917.3706944444447,1,1,20,0,5,5
941,1,150.50679012345677,4,3,20,0,3,8
942,7,14.552424242424241,1,1,20,0,3,1
943,3,681.7662500000001,71,17,17,0,1,1
945,2,27880.540673076925,53,21,20,0,1,3
946,1,26976.115094339628,53,21,20,0,1,7
947,3,1798.617532467533,53,21,20,0,1,3
949,0,185.79142857142858,3,4,20,0,2,4
950,3,826.5774038461543,51,5,20,0,4,1
953,1,6847.114318181819,1,1,20,0,2,7
954,2,403.51649350649353,1,1,20,0,3,4
955,1,17.056404494382022,3,4,20,0,3,8
956,0,1086.3585483870968,1,4,20,0,4,5
957,3,507.86185185185184,54,45,20,0,2,3
958,3,1156.866666666667,54,45,20,0,2,3
959,4,44.89939393939393,54,45,20,0,1,1
960,4,173.67302083333334,25,15,20,0,1,3
961,3,491.3833333333333,25,15,9,0,1,3
962,3,665.9066666666668,5,5,6,0,2,2
963,1,549.7233333333332,14,1,20,0,3,3
966,0,158.019347826087,216,1,20,0,3,4
974,3,715.0785714285714,294,35,20,0,3,6
975,1,4191.944943820224,4,8,20,0,4,2
976,4,129.35072916666667,96,1,20,0,5,1
977,0,37.6548076923077,10,11,19,0,2,4
979,3,161.3922115384616,1,2,20,1,2,3
980,0,346.8384090909092,50,5,20,1,5,5
983,1,529.2137500000001,9,9,20,0,7,2
984,1,37.47788732394367,1,2,20,0,4,1
986,1,2321.6496875000003,3,2,20,0,4,1
987,2,438.6555208333334,12,20,20,0,4,3
988,2,1558.9417307692306,6,3,20,0,3,3
990,0,3940.639195402299,10,3,20,1,5,3
991,1,14096.480634920632,1,1,20,0,3,9
995,0,29.107241379310338,7,9,20,0,3,9
996,2,488.7671428571428,5,21,18,0,4,1
997,2,247.5114583333333,269,21,15,0,3,1
998,0,225.56313725490196,294,7,19,0,2,3
999,0,10308.721967213112,269,140,20,1,2,3
1000,3,835.8633333333333,5,1,20,0,3,1
1001,0,280.0255072463767,2,1,20,0,3,1
1002,4,71.12016949152542,2,5,19,0,4,3
1003,2,685.1160869565219,12,1,17,0,2,1
1004,1,433.21864864864875,1,1,20,0,3,4
1006,3,1635.5050819672126,116,129,20,1,1,2
1007,2,242.99730769230763,50,2,20,1,4,6
1009,2,314.1605154639175,15,15,20,0,2,1
1010,2,391.74192307692294,15,15,20,0,2,2
1011,1,1296.8287500000001,15,15,20,1,3,1
1012,3,92.24064102564101,87,13,20,0,1,3
1013,0,2418.9617857142853,8,12,20,0,1,4
1014,1,1139.1144,8,12,20,0,3,2
1015,0,238.03584905660384,1,1,20,0,2,2
1017,2,313.8011111111111,1,2,14,0,6,2
1018,2,19.994509803921563,3,4,20,0,3,5
1019,1,51.87929292929293,3,4,20,0,2,5
1020,0,36.70174999999999,2,2,18,0,5,1
1021,2,368.67894230769247,228,8,18,0,1,2
1022,1,392.5851923076924,228,8,20,0,1,1
1023,1,85.35677083333333,9,8,19,0,3,6
1024,0,398.26591549295773,2,3,20,0,5,1
1025,1,1009.4621739130436,269,45,20,0,2,5
1029,2,41.6676595744681,26,1,20,0,2,3
1030,1,2815.1786666666667,156,21,20,0,2,3
1031,0,477.58000000000015,7,1,20,0,5,3
1032,2,125.2952475247525,21,3,15,0,1,1
1033,0,21.14527027027027,1,1,20,0,3,1
1034,1,2059.2100000000005,6,7,20,1,1,3
1035,2,246.24761904761908,2,2,16,0,5,3
1038,2,227.4504347826087,156,8,20,0,1,3
1040,2,68.80009615384611,33,42,20,0,1,3
1042,0,62.50089552238808,1,1,20,1,3,3
1043,0,3446.165,2,5,5,0,5,4
1044,0,429.8441095890411,1,3,20,0,2,6
1045,1,323.8575862068964,45,1,7,0,1,3
1046,0,19101.220769230764,3,1,20,0,4,13
1048,2,145.81574712643678,26,16,20,0,3,8
1049,2,16.708153846153845,1,2,20,0,2,3
1050,2,1073.6577884615383,2,3,20,0,4,2
1051,2,6761.852894736841,13,4,20,0,1,10
1052,1,115.75197802197802,71,3,20,0,1,4
1053,2,11.963563218390801,8,5,20,0,2,2
1054,1,356.9,294,2,20,0,3,4
1055,2,1385.2728124999999,294,2,20,0,3,3
1056,3,81.37846153846155,71,11,20,0,1,4
1060,2,9627.537250000005,71,3,20,0,2,1
1062,4,12554.643888888892,71,23,20,0,1,3
1063,2,880.0962222222221,71,1,16,1,1,5
1064,1,269.648024691358,63,7,20,0,5,9
1065,2,471.78749999999997,63,3,20,0,3,6
1066,2,226.9370129870129,71,6,20,0,1,5
1067,3,319.9824390243903,71,6,20,0,2,3
1068,1,110.11379746835445,100,4,20,0,4,2
1069,2,22.02542372881356,50,2,20,0,3,6
1070,3,44.22761194029853,1,1,20,0,3,5
1071,2,4294.306585365854,1,1,20,0,1,2
1072,3,133.0801063829787,24,30,20,1,4,3
1073,1,1688.464126984126,1,1,20,0,6,2
1074,7,124.81012500000001,135,63,20,0,1,3
1075,2,1386.2685897435897,2,2,20,0,4,5
1076,5,873.5695192307692,4,4,20,0,3,2
1077,3,40.191111111111105,1,1,15,0,2,3
1080,2,43.05900000000001,4,4,20,0,2,4
1081,3,43.306428571428576,4,4,18,0,2,3
1083,2,10.471142857142857,12,1,20,0,3,4
1085,2,5541.492222222222,44,12,20,0,2,4
1086,1,127.5766336633664,1,2,20,0,2,3
1087,1,149.5535416666667,87,7,20,0,2,3
1088,1,21.58967741935484,1,1,20,0,3,8
1089,1,262.1381481481481,5,18,20,0,3,8
1090,2,53.44038461538461,1,2,20,0,3,6
1092,2,25.674358974358974,2,4,20,0,2,4
1094,6,999.6433653846153,2,22,20,0,1,2
1095,4,14698.256000000001,7,22,20,0,1,4
1097,1,193.01142857142858,1,1,20,0,2,6
1098,1,159.78101123595513,26,27,20,0,3,8
1099,2,18.629166666666666,7,5,13,0,2,2
1100,0,2630.7177777777783,4,4,20,0,1,3
1101,0,291.6935714285714,6,4,20,0,2,6
1103,2,954.6668831168832,15,13,20,0,3,6
1104,0,19.662843137254907,4,6,20,0,1,10
1107,1,693.1214705882354,7,3,20,0,4,3
1108,2,9.594903846153846,2,2,16,0,1,3
1109,3,1157.839259259259,171,1,20,0,2,1
1110,1,18.659480519480518,100,1,20,0,3,4
1111,3,51.88660194174758,4,9,20,0,3,6
1112,3,3173.9702083333336,294,2,20,0,2,3
1114,2,286.6969791666667,294,2,20,0,2,4
1115,3,5254.115833333332,294,13,20,0,3,3
1116,2,1666.3875000000007,29,20,19,0,2,7
1117,0,92.2764423076923,4,4,20,0,1,4
1118,1,1599.4264705882356,4,4,20,1,4,6
1119,0,220.37158536585363,13,1,20,1,4,4
1121,2,3226.088767123287,216,25,20,0,1,3
1125,5,7704.948555555556,216,25,20,0,1,2
1126,3,3067.439903846153,85,19,20,0,1,3
1127,2,14254.356956521737,85,19,20,0,2,3
1128,2,5272.802586206896,8,9,20,0,2,3
1129,3,15897.610000000004,85,19,20,0,2,3
1130,2,1148.6748837209304,5,5,20,0,4,1
1131,0,360.67181818181814,5,5,20,0,2,1
1132,0,57.942258064516125,4,1,20,0,3,1
1133,1,219.93737704918033,2,1,19,0,7,1
1134,2,817.9920000000001,1,3,20,1,3,3
1135,0,244.81874999999997,294,7,20,0,1,1
1137,0,175.2925531914894,1,1,20,0,5,3
1140,0,961.1431081081084,2,2,20,0,3,3
1141,0,126.1081707317073,4,7,20,0,3,6
1142,1,27.418596491228072,2,1,20,0,3,3
1143,0,1225.3262068965516,37,4,19,0,1,4
1144,1,3242.6746666666663,37,4,4,0,2,3
1145,2,142.54157142857142,1,1,19,0,3,1
1146,1,3236.4406666666673,6,6,20,0,3,2
1149,0,117.30250000000001,2,7,17,0,2,8
1150,0,153.40571428571425,38,7,17,0,3,1
1153,4,38.215211267605646,8,12,20,0,3,5
1154,1,468.8644230769231,2,3,20,0,2,5
1155,1,621.3167469879518,2,3,20,0,2,5
1156,1,923.817931034483,2,3,20,0,2,5
1157,0,4500.561304347827,19,23,20,0,6,4
1158,0,59.109186046511624,2,2,20,0,3,4
1159,0,190.8832857142857,4,5,12,0,3,4
1160,1,1527.9157575757579,216,3,20,0,2,5
1161,0,299.9788333333333,269,35,20,0,2,3
1162,0,422.8821739130435,45,2,20,0,5,1
1163,2,257.05151515151516,2,2,20,1,3,7
1164,2,413.4384375,8,9,20,0,3,3
1165,4,154.10170212765962,1,1,20,0,5,1
1166,4,439.6993269230769,116,129,20,0,1,4
1167,0,1429.4437878787878,1,2,20,0,2,6
1169,0,185.8321739130435,2,6,7,0,3,1
1171,0,313.67499999999995,74,1,20,0,4,1
1172,0,17081.197407407406,1,1,20,0,5,3
1173,1,135.06035087719297,2,2,20,0,3,6
1174,0,6217.123999999998,1,1,20,1,1,1
1175,0,17.84394230769231,3,4,20,0,2,9
1177,1,239.73776315789473,216,44,20,0,3,4
1179,2,105.94471153846149,142,2,20,0,1,1
1180,0,286.1648837209302,87,8,20,0,2,4
1181,0,235.90311111111106,4,2,20,1,5,5
1183,1,562.0588461538466,269,140,20,0,1,1
1184,0,444.2183653846154,1,1,20,0,5,1
1185,0,66.37313432835819,3,1,14,0,4,4
1186,0,155.91903614457826,5,6,20,0,2,2
1187,0,28.42344827586206,5,6,20,0,2,1
1188,0,617.7564102564104,7,11,20,0,5,3
1192,1,499.9513888888891,1,1,13,0,2,3
1193,1,548.6082352941177,1,1,20,0,5,1
1194,1,11832.947894736844,12,8,20,1,1,5
1196,3,108.05255319148937,7,11,20,1,3,3
1197,0,2644.810875,36,7,20,0,3,4
1198,0,32797.08275510203,1,11,20,0,2,6
1200,2,859.2140476190477,87,21,20,0,3,3
1201,11,98.99144230769227,216,18,20,0,1,1
1202,6,535.4227884615382,216,18,20,0,1,1
1204,6,296.93310344827574,85,59,20,0,3,3
1205,3,208.52032258064514,1,2,20,0,4,1
1206,3,432.75840909090897,24,30,19,0,4,3
1207,3,184.74192307692311,216,5,20,0,1,3
1208,3,429.21477777777795,17,25,20,0,2,3
1209,2,3965.248809523809,17,25,20,0,2,3
1214,0,108.29915254237288,7,3,20,0,3,3
1215,0,98.49000000000004,4,6,20,1,4,4
1216,1,34.83450980392157,10,2,20,0,2,4
1217,1,86.61158730158729,3,2,20,1,3,3
1218,3,595.2405128205128,1,2,20,0,6,1
1219,2,282.3815094339623,1,1,20,0,3,6
1220,2,967.4201666666669,1,1,15,0,4,1
1222,2,740.7217073170733,4,6,20,0,1,5
1225,1,822.9166666666669,5,5,19,0,4,1
1226,3,252.07724137931035,1,14,20,0,3,1
1227,2,19.836442307692305,1,1,20,0,1,7
1228,4,184.67182926829273,7,22,20,0,3,3
1230,2,5475.9487804878045,7,19,20,0,4,1
1231,2,114.16758620689657,2,2,20,1,2,2
1232,0,105.29621359223303,63,26,18,0,1,5
1233,1,142.6917821782178,63,26,20,0,1,3
1234,0,253.4655555555557,171,1,20,0,5,3
1235,2,1057.8044897959185,3,9,16,0,1,3
1236,1,986.9150000000002,8,11,17,0,2,1
1237,1,5718.534754098362,7,7,20,1,1,4
1238,0,2713.073069306931,7,7,20,1,1,6
1239,1,1267.8358064516128,216,44,20,0,3,4
1240,1,384.05227272727274,216,44,20,0,3,2
1242,2,45.91349397590361,4,4,20,0,4,1
1244,1,288.2893103448276,2,4,20,0,3,4
1245,0,7424.96225,22,19,20,1,2,3
1247,2,166.21569444444444,54,45,20,0,1,4
1248,1,109.89076923076927,1,1,20,0,4,1
1249,0,7.786415094339621,24,30,11,0,2,1
1250,1,7.583333333333333,24,30,11,0,2,1
1251,1,9.914200000000001,24,30,11,0,2,1
1254,1,30.75512195121953,1,1,19,1,3,4
1255,0,5.2700000000000005,3,4,10,0,2,4
1256,1,381.7851562499999,1,1,9,0,3,1
1259,4,2011.753137254902,6,14,20,0,3,3
